Date,close,high,low,open,volume,SMA_20,EMA_20,EMA_50,RSI_14,ROC_10,MACD,MACD_SIG,ATR_14,OBV,ADX_14,CCI_20
2024-10-09,568.5277709960938,569.0892725126486,564.0062377966648,564.6071207773316,37912200,559.6342590332031,558.8976852031973,550.0684329899976,63.890398126325664,1.2455316033359392,5.011489001714267,5.045478510019721,5.908681820168785,-386590000.0,22.94937433328807,-8900.273377040183
2024-10-10,567.5328369140625,568.9612116462271,565.9172950083815,567.1782233614125,44138100,560.5577514648438,559.7200806042321,550.7533115752551,62.45492288036913,0.6692257490924193,5.094402844329238,5.055263376881625,5.704055735717125,-430728100.0,23.731198008999446,-10396.53615196372
2024-10-11,570.9312744140625,571.6700825909913,567.3159964454156,567.4539217349562,42268000,561.5077850341797,560.7878133480255,551.5446042356004,65.3210516270606,1.4191423042232307,5.372408386613415,5.118692378827983,5.607629336421309,-388460100.0,24.895128206738264,-10755.647159794438
2024-10-14,575.6007080078125,576.5365440088547,572.0642520010472,572.5469305372737,36217200,562.650537109375,562.1985652203862,552.4879808541185,68.84070515960411,1.840520610448623,5.901485398598197,5.275250982782025,5.607460783447798,-352242900.0,26.627675721940076,-10026.299657400392
2024-10-15,571.1283569335938,576.1719497636773,569.9068101256781,575.8665780927906,54203600,563.5583770751953,563.049021574025,553.21897599449,62.31696497026019,1.9626578727459612,5.891982283564971,5.3985972429386155,5.6544378444871795,-406446500.0,27.515020028845406,-9786.592637227346
2024-10-16,573.6107177734375,574.1328378005626,570.3205920106161,571.1283629185417,30725400,564.6723327636719,564.0548974025405,554.018652142684,64.33710576585774,2.362619474763599,6.015414812759332,5.521960756902759,5.522852697734272,-375721100.0,28.338982599543215,-9133.585552604605
2024-10-17,573.6599731445312,577.3737353042621,573.4728059770134,577.1668473429936,34393700,565.3183471679687,564.9696665208253,554.7889000251095,64.37791218651712,2.5589082375617314,6.047498677910539,5.627068341104316,5.407001028413876,-341327400.0,29.563513671545177,-7935.852188529269
2024-10-18,575.86669921875,576.6547494908873,573.886683077602,575.3544394858889,37416800,566.1231628417969,566.0074791587228,555.6154803856444,66.24160049032535,2.02628417677765,6.179753373873609,5.737605347658175,5.234699265409746,-303910600.0,30.70057823840414,-7254.55308970412
2024-10-21,574.9209594726562,576.1227255252943,571.9361448880472,575.137647728295,36439000,566.8107513427735,566.8563820457641,556.3725579968998,64.67978271922557,2.787970120083828,6.137503559069387,5.817584989940418,5.159833649112411,-340349600.0,31.043497052978957,-6886.245373710271
2024-10-22,574.6155395507812,575.7779240387921,571.7194086656112,572.379393899403,34183800,567.4027832031251,567.5953494271944,557.0879690382285,64.15372688944875,1.7708636464071197,6.010094809440034,5.856086953840341,5.081168057974443,-374533400.0,31.28311022717285,-6706.288086007469
2024-10-23,569.3651123046875,573.0296330130559,565.8483773171869,572.5863359748305,49314600,567.794354248047,567.7638982726698,557.5694256369131,55.758098509344826,0.14728239345752261,5.422944529449978,5.769458468962269,5.34445335623301,-423848000.0,29.66294506043241,-6944.800195259873
2024-10-24,570.596435546875,571.4042065299044,567.966294746531,571.3253834738008,34979900,568.1361755371094,568.033663727356,558.0802887706371,57.17358318238291,0.5398099340772416,4.99935178206033,5.615437131581881,5.208271815314463,-388868100.0,28.158505977030572,-7043.196965594531
2024-10-25,570.3992919921875,575.7384556877671,569.4536560087178,572.8324648441098,47268200,568.5090240478515,568.25896165734,558.5633869361881,56.859913337341105,-0.09317801383729853,4.594777901172392,5.411305285499984,5.285166662724097,-436136300.0,27.68300146954044,-7132.257599011326
2024-10-28,572.1627197265625,574.0146706850179,571.8573480325817,573.8866057690544,30174700,568.8572540283203,568.6307481401232,559.096694104438,59.02538264206414,-0.5972870139699927,4.366114219444853,5.202267072288958,5.165896093445976,-405961600.0,27.241461569728173,-7304.176583843854
2024-10-29,573.0887451171875,574.2116881424289,569.7985587291014,571.1973524048652,42899700,569.5049499511719,569.055319280796,559.6454019872909,60.156425909870755,0.3432482663125215,4.211076446181664,5.0040289470675,5.112127044866086,-363061900.0,26.20532349749655,-7963.569165092058
2024-10-30,571.35498046875,574.615585559352,570.6456931929514,572.6158487794029,41435800,570.054135131836,569.2743346320298,560.1046011434266,56.98484624006658,-0.3932522937234346,3.903312618294649,4.78388568131293,5.030538853547122,-404497700.0,25.336778775358553,-9165.95772733884
2024-10-31,560.154541015625,567.0402238212235,559.9575134707092,566.9712611742847,60182500,570.0945220947266,568.4057828590388,560.1065595697874,41.69231921315988,-2.3542573582179513,2.7242225674981455,4.371953058549973,5.485319435296673,-464680200.0,24.964761511204834,-9681.982831644693
2024-11-01,562.518798828125,566.9615092751701,562.1050829916865,562.7946494686686,45667500,569.998974609375,567.8451177132375,560.2011571877614,45.0448496528381,-2.3178802331743507,1.957990557557764,3.8891605583515316,5.57972292274299,-419012700.0,24.61931690877638,-9821.386725780008
